Logistic Regression,Dönen Varlıklar,Duran Varlıklar,Toplam Varlıklar,Kısa Vadeli Yükümlülükler,Uzun Vadeli Yükümlülükler,Toplam Yükümlülükler,Toplam Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Kontrol Gücü Olmayan Kaynaklar,Toplam Kaynaklar,Cari Oran,Dönen Varlıklar / Aktif (%),Asit Test Oranı,Nakit Oranı,Aktif Karlılık (%),Faaliyet Kar Marjı,Esas Faaliyet Kar Marjı,Brüt Kar Marjı (%),FAVÖK Marjı (%),Net Kar Marjı,Özsermaye Karlılığı (%),VAFÖK Marjı,ROCE Oranı,Finansman Gider / Net Satış,Borç Kaynak Oranı,Duran Varlıklar / Aktif ,Duran Varlıklar / Maddi Özkaynak,Esas Faaliyet Karı / Kısa Vadeli Borç,FAVÖK / Kısa Vade Borç,Net Borç / FAVÖK,Kısa Vade Borç / Aktif,Kısa Vade Borç / Dönen Varlık,Kısa Vade Borç / Özsermaye,Kısa Vade Borç / Toplam Borç,Net Satışlar / Kısa Vade Borç,Özsermaye / Aktif,Özsermaye / Maddi Duran Varlıklar,Toplam Borç / Özsermaye,Aktif Devir Hızı,Alacak Devir Hızı,Dönen Varlıklar Devir Hızı,Ticari Borçlar Devir Hızı,Finansal Kaldıraç,Stok Devir Hızı,Springate Skoru,Zmijewski Skoru,L Model Skoru,FBE_Sınıfı
Dusuk Orta Yuksek,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete
Yuksek,3.18724e+09,1.30687e+09,4.4941e+09,9.203e+08,1.92613e+08,1.11291e+09,3.38119e+09,3.38119e+09,0,4.4941e+09,3.46326,70.9204,1.05568,0.567739,2.02678,16.4303,17.1063,21.0266,16.4303,4.00689,2.69389,16.4303,8.31085,-0.106788,32.9148,29.0796,0.386526,0.422543,0.405844,2.9797,0.204779,0.288745,0.272182,0.826929,2.4701,0.752362,2.66206,0.329148,0.505825,5.16709,1.40208,10.0095,24.7638,0.847818,0.928138,-2.99352,-0.339952,
Yuksek,1.19543e+08,2.22622e+08,3.42165e+08,2.99352e+07,3.51519e+07,6.50871e+07,2.77078e+08,1.76903e+08,1.00175e+08,3.42165e+08,3.9934,34.9373,3.07456,0.654753,0.100969,-2.52549,-4.02122,16.4313,-2.52549,0.471129,0.124687,-2.52549,-0.541245,-0.0567369,23.4905,65.0627,1.01083,-0.0985052,-0.0618653,-35.1451,0.0874876,0.250413,0.108039,0.459926,2.44964,0.809779,6.56891,0.234905,0.214313,1.02188,1.6302,3.93413,19.0221,6.25025,0.390713,-3.23626,-0.402298,
Orta,4.47534e+09,3.69331e+09,8.16866e+09,2.74486e+09,6.63618e+08,3.40848e+09,4.76018e+09,4.66207e+09,9.81082e+07,8.16866e+09,1.63045,54.7868,1.03235,0.320009,4.18136,11.1914,11.2201,21.266,11.1914,3.05932,7.17537,11.1914,15.296,-0.119025,71.6039,45.2132,0.834138,0.456375,0.455205,2.72793,0.336023,0.613329,0.576629,0.805303,4.06746,0.582737,1.77945,0.716039,1.36676,7.93532,0.400852,4.76352,41.7263,6.04197,1.15368,-2.11629,-0.301971,
Yuksek,6.47034e+09,7.1188e+09,1.35891e+10,2.77861e+09,1.28896e+09,4.06757e+09,9.52156e+09,7.9186e+09,1.60296e+09,1.35891e+10,2.32862,47.614,1.39331,0.455023,0.672517,8.01477,5.94255,17.3277,8.01477,1.89131,0.959813,8.01477,2.84991,0.153759,42.7196,52.386,0.750586,0.103342,0.139378,10.503,0.204473,0.429438,0.291823,0.683112,1.73902,0.700675,2.00169,0.427196,0.355582,2.0092,1.33905,6.47908,29.9325,1.94995,0.950652,-2.63342,-0.274463,
Orta,1.44021e+08,1.01998e+08,2.46019e+08,8.69506e+07,3.63219e+07,1.23272e+08,1.22747e+08,1.22743e+08,3417,2.46019e+08,1.65635,58.5405,0.797291,0.352152,-2.15073,-0.96763,-1.42318,51.4819,-0.96763,-3.7726,-4.31068,-0.96763,-0.55164,-0.0323026,100.428,41.4595,0.834639,-0.0229563,-0.0156082,-90.8327,0.35343,0.603737,0.708375,0.705353,1.61303,0.498931,1.24309,1.00428,0.570093,3.64734,1.02686,2.47594,50.1069,1.08653,0.360522,-1.35375,-0.427092,
Yuksek,1.95081e+09,1.64365e+10,1.83873e+10,7.67658e+07,7.09448e+08,7.86214e+08,1.76011e+10,1.76011e+10,0,1.83873e+10,25.4125,10.6096,25.1011,17.5404,15.6477,99.727,99.7249,100,99.727,86.6601,16.3467,99.727,18.0072,-0.0365433,4.46685,89.3904,0.933838,43.1306,43.1315,0.237453,0.00417494,0.0393508,0.00436143,0.0976399,43.2496,0.957241,119.233,0.0446685,0.180565,498063,0.587577,0,4.27586,0,29.085,-4.86207,-1.00247,
Orta,6.96108e+09,9.26787e+08,7.88786e+09,4.91341e+09,6.88058e+08,5.60146e+09,2.2864e+09,2.28473e+09,1.66845e+06,7.88786e+09,1.41675,88.2505,0.894475,0.148637,10.5511,6.87947,5.70921,6.66051,6.87947,4.11774,36.4003,6.87947,17.6277,-0.0337246,244.991,11.7495,0.406239,0.234851,0.28299,4.02854,0.622907,0.70584,2.14897,0.877165,4.11354,0.289863,3.43046,2.44991,2.56236,5.84149,0.344411,9.66625,71.0137,9.23273,1.84606,-0.732685,-0.441283,
Orta,1.92017e+09,6.07648e+08,2.52782e+09,1.22505e+09,4.93616e+08,1.71866e+09,8.09155e+08,5.21657e+08,2.87498e+08,2.52782e+09,1.56743,75.9616,0.687865,0.0304822,0.834824,20.4669,5.70969,27.1428,20.4669,6.76226,2.60801,20.4669,2.52671,-0.136889,212.402,24.0384,0.756299,0.0145448,0.0521373,26.9085,0.484626,0.637988,1.51398,0.712791,0.25474,0.3201,3.25926,2.12402,0.123453,0.389135,6.15305,1.25078,67.99,0.291268,0.387068,-0.468409,-0.521804,
Dusuk,1.07498e+09,1.92748e+09,3.00246e+09,2.49081e+09,1.99369e+08,2.69018e+09,3.12285e+08,3.1119e+08,1.09475e+06,3.00246e+09,0.43158,35.8034,0.152617,0.0823775,4.04792,0.233427,3.52875,24.2025,0.233427,1.39534,38.9187,0.233427,0.67718,-0.0258551,861.45,64.1966,9.11191,0.123399,0.00816284,132.312,0.829589,2.31707,7.97608,0.92589,3.49696,0.10401,0.324362,8.6145,2.90104,51.2207,0.123416,3.12649,89.599,9.75618,0.424223,0.623263,-0.448452,
Yuksek,1.48133e+07,2.36472e+08,2.51285e+08,1.51379e+06,2.21417e+07,2.36555e+07,2.2763e+08,2.2763e+08,0,2.51285e+08,9.78555,5.895,9.58137,2.64854,1.07355,-6.87758,-6.97106,34.7407,-6.87758,36.3055,1.18511,-6.87758,-0.203369,4.35672,10.3921,94.105,1.04805,-0.342175,-0.337586,-46.2894,0.00602419,0.102191,0.00665023,0.0639931,4.90851,0.905862,9.4238,0.103921,0.0295698,2.53328,1.99359,28.0262,9.41381,53.1183,17.3336,-3.85086,-0.411456,
