Logistic Regression,Dönen Varlıklar,Duran Varlıklar,Toplam Varlıklar,Kısa Vadeli Yükümlülükler,Uzun Vadeli Yükümlülükler,Toplam Yükümlülükler,Toplam Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Kontrol Gücü Olmayan Kaynaklar,Toplam Kaynaklar,Cari Oran,Dönen Varlıklar / Aktif (%),Asit Test Oranı,Nakit Oranı,Aktif Karlılık (%),Faaliyet Kar Marjı,Esas Faaliyet Kar Marjı,Brüt Kar Marjı (%),FAVÖK Marjı (%),Net Kar Marjı,Özsermaye Karlılığı (%),VAFÖK Marjı,ROCE Oranı,Finansman Gider / Net Satış,Borç Kaynak Oranı,Duran Varlıklar / Aktif ,Duran Varlıklar / Maddi Özkaynak,Esas Faaliyet Karı / Kısa Vadeli Borç,FAVÖK / Kısa Vade Borç,Net Borç / FAVÖK,Kısa Vade Borç / Aktif,Kısa Vade Borç / Dönen Varlık,Kısa Vade Borç / Özsermaye,Kısa Vade Borç / Toplam Borç,Net Satışlar / Kısa Vade Borç,Özsermaye / Aktif,Özsermaye / Maddi Duran Varlıklar,Toplam Borç / Özsermaye,Aktif Devir Hızı,Alacak Devir Hızı,Dönen Varlıklar Devir Hızı,Ticari Borçlar Devir Hızı,Finansal Kaldıraç,Stok Devir Hızı,Springate Skoru,Zmijewski Skoru,L Model Skoru,FBE_Sınıfı
Dusuk Orta Yuksek,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orta,1.63586e+08,4.88441e+08,6.52027e+08,1.41652e+08,6.17023e+07,2.03354e+08,4.48672e+08,4.48875e+08,-202618,6.52027e+08,1.15484,25.0888,0.461194,0.0237388,0.804652,4.89671,6.39542,20.2126,4.89671,2.58206,1.16935,4.89671,1.52597,-0.0368395,45.3236,74.9112,1.09219,0.0917389,0.0702407,20.4382,0.217249,0.86592,0.315714,0.696578,1.43445,0.688119,2.07482,0.453236,0.311632,3.6221,0.805078,1.97897,31.1881,1.72938,0.220383,-2.56311,-0.235189,
Yuksek,1.23424e+08,7.71917e+07,2.00616e+08,3.19207e+07,2.13992e+06,3.40606e+07,1.66555e+08,1.46666e+08,1.98893e+07,2.00616e+08,3.86659,61.5227,2.18484,0.112179,7.73215,13.0418,11.315,20.121,13.0418,10.3947,9.31338,13.0418,9.70118,-0.00311009,20.45,38.4773,0.464572,0.528978,0.609702,1.7501,0.159113,0.258626,0.191652,0.937173,4.675,0.83022,2.92518,0.2045,0.743855,2.34169,0.827078,6.97305,16.978,2.50866,1.52608,-3.69567,-0.356229,
Dusuk,1.70065e+06,1.57061e+07,1.74067e+07,8.92333e+06,7.9595e+06,1.68828e+07,523882,519519,4363,1.74067e+07,0.190585,9.77009,0.173797,0.0020424,-13.0826,-99.7527,-34.2148,-10.2242,-99.7527,-184.967,-434.689,-99.7527,-7.05546,-1.48444,3222.64,90.2299,30.0977,-0.0472068,-0.137631,-13.7468,0.512638,5.24701,17.0331,0.528545,0.137972,0.0300966,0.0357017,32.2264,0.0707296,0.815311,1.38133,2.75542,96.9903,0,-1.07272,1.81641,-0.917379,
Yuksek,6.51104e+10,3.23271e+10,9.74374e+10,2.84444e+10,3.55169e+10,6.39613e+10,3.34761e+10,3.12828e+10,2.19333e+09,9.74374e+10,2.28904,66.8227,1.7883,0.924897,7.59515,16.9781,16.3801,29.8062,16.9781,8.79988,22.1069,16.9781,14.6537,-0.111995,191.066,33.1773,1.01722,0.48429,0.501969,4.47965,0.291925,0.436864,0.849693,0.444712,2.95657,0.343565,1.43939,1.91066,0.863096,3.84014,0.774221,5.74881,65.6435,4.98971,1.33274,-0.909259,-0.441753,
Dusuk,6.71072e+08,3.02256e+08,9.73328e+08,6.61252e+08,1.96941e+08,8.58193e+08,1.15134e+08,1.15134e+08,0,9.73328e+08,1.01485,68.9462,0.898751,0.0175255,-0.17986,5.40057,6.42282,32.4283,5.40057,-1.28364,-1.52051,5.40057,0.756715,-0.0902445,745.384,31.0538,2.66152,0.0132468,0.0111384,116.518,0.679372,0.985367,5.74331,0.770516,0.206246,0.118289,0.405368,7.45384,0.140118,0.235966,4.92059,0.624224,88.1711,1.25542,0.0581146,0.729785,-0.598819,
Yuksek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.01402,7.84421,21.3958,8.01402,0,0,8.01402,0,-0.131302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dusuk,3.57723e+09,6.99484e+07,3.64718e+09,2.96672e+09,2.09489e+06,2.96881e+09,6.78366e+08,3.91887e+08,2.86478e+08,3.64718e+09,1.20579,98.0821,1.20427,0.639647,1.16998,0.167065,0.16595,0.459539,0.167065,0.117259,6.29029,0.167065,1.66694,-0.000222246,437.642,1.91788,0.103272,0.0203559,0.0204927,48.8322,0.813428,0.829334,4.37333,0.999294,12.2663,0.185997,81.2459,4.37642,9.97777,35.1461,0.0983006,36.5713,81.4003,90449.4,4.24661,0.282342,-0.434794,
Yuksek,3.733e+07,3.16988e+07,6.90288e+07,4.09158e+06,582831,4.67441e+06,6.43544e+07,6.40775e+07,276875,6.90288e+07,9.12361,54.0789,7.73878,0.367927,-2.85586,-6.99942,-7.10477,10.4135,-6.99942,-8.81297,-3.0633,-6.99942,-2.26818,-0.068668,7.26355,45.9211,0.492579,-0.388423,-0.382663,-2.98552,0.0592735,0.109606,0.0635789,0.875315,5.46707,0.932283,2.8055,0.0726355,0.324052,0.744358,1.66883,5.20339,6.77168,6.43233,0.268168,-3.82199,-0.824368,
Dusuk,7.62561e+08,4.08698e+08,1.17126e+09,6.74531e+08,2.93692e+08,9.68223e+08,2.03036e+08,2.03036e+08,0,1.17126e+09,1.13051,65.1061,0.464281,0.0068544,2.23026,11.3783,10.1712,22.1352,11.3783,7.81215,12.8657,11.3783,3.24835,-0.0244234,476.872,34.8939,4.36237,0.0504204,0.0564045,25.4484,0.575902,0.88456,3.32222,0.696669,0.495719,0.173349,1.65111,4.76872,0.285486,1.08406,2.28054,2.58598,82.6651,0.919247,0.301352,0.307029,-0.525877,
Dusuk,3.05945e+09,9.44821e+09,1.25077e+10,3.1817e+09,4.00487e+09,7.18656e+09,5.32109e+09,5.32109e+09,0,1.25077e+10,0.961577,24.4606,0.796381,0.291413,2.32737,27.1726,25.4828,54.1065,27.1726,11.6081,5.47067,27.1726,5.44795,-0.179116,135.058,75.5394,3.59716,0.200848,0.214166,10.5466,0.25438,1.03996,0.597941,0.442728,0.78817,0.425427,0.868868,1.35058,0.200495,1.66791,1.22001,2.54149,57.4573,25.2813,0.236689,-1.13351,-0.369761,
Dusuk,1.11496e+08,3.97132e+07,1.5121e+08,1.03808e+08,1.35111e+07,1.17319e+08,3.38909e+07,3.38909e+07,0,1.5121e+08,1.07407,73.7363,0.705269,0.0976216,0.26005,3.28138,8.35186,11.6306,3.28138,0.173991,1.16025,3.28138,4.90441,-0.0716112,346.165,26.2637,1.17271,0.181829,0.0714393,15.8198,0.686515,0.93104,3.06299,0.884835,2.17711,0.224132,0.968717,3.46165,1.49462,3.59859,0.493346,4.25565,77.5868,5.33333,0.655675,0.106448,-0.500992,
Dusuk,7.96899e+08,4.57043e+08,1.25394e+09,6.6266e+08,1.83362e+08,8.46022e+08,4.0792e+08,4.06265e+08,1.655e+06,1.25394e+09,1.20258,63.5515,0.499131,0.266025,-2.59254,1.28395,0.885645,12.4248,1.28395,-2.79664,-7.96945,1.28395,1.19025,-0.0388652,207.399,36.4485,1.13851,0.0155359,0.0225229,56.6849,0.528461,0.831548,1.62449,0.783266,1.75419,0.32531,2.14408,2.07399,0.92702,9.29088,0.685546,1.82577,67.469,2.26652,0.352437,-0.342413,-0.424126,
Dusuk,7.45727e+07,1.08523e+08,1.83095e+08,8.84868e+07,5.3265e+07,1.41752e+08,4.13436e+07,4.13153e+07,28361,1.83095e+08,0.842755,40.7289,0.471421,0.0846811,-0.0422233,14.8568,9.51374,26.0568,14.8568,-0.0985333,-0.186991,14.8568,6.36642,-0.146027,342.863,59.2711,2.73421,0.0843567,0.131733,12.1606,0.483283,1.18659,2.14028,0.624238,0.886683,0.225804,0.394535,3.42863,0.428519,2.29787,0.950457,1.6761,77.4196,2.13395,0.13449,0.111448,-0.516352,
Yuksek,8.38362e+09,8.22121e+09,1.66048e+10,3.44975e+09,2.66411e+09,6.11387e+09,1.0491e+10,1.05959e+10,-1.04915e+08,1.66048e+10,2.43021,50.489,2.06984,1.78647,5.11881,14.715,17.7029,39.9481,14.715,12.2747,8.10192,14.715,6.13645,-0.0601462,58.2775,49.511,0.995872,0.355344,0.295368,6.00018,0.207756,0.411488,0.328831,0.564251,2.00726,0.631802,2.19606,0.582775,0.417021,8.44081,1.21071,5.90977,36.8198,104.781,0.916962,-2.44134,-0.244738,
Orta,5.07395e+09,6.67292e+09,1.17469e+10,3.32982e+09,3.08832e+09,6.41814e+09,5.32873e+09,4.96108e+09,3.67648e+08,1.17469e+10,1.52379,43.1941,1.11506,0.261335,6.56199,14.3061,9.89394,14.8948,14.3061,8.54298,14.4655,14.3061,10.9888,-0.0438704,120.444,56.8059,1.25321,0.2681,0.38766,4.97208,0.283464,0.656257,0.62488,0.518813,2.70974,0.45363,1.68092,1.20444,0.768114,4.57201,0.562339,6.62619,54.637,14.4323,0.964624,-1.48707,-0.336434,
Orta,2.01202e+08,1.33397e+08,3.34599e+08,1.50679e+08,4.75612e+07,1.9824e+08,1.36359e+08,1.35743e+08,615987,3.34599e+08,1.3353,60.1323,0.522854,0.045794,0.328323,3.64149,6.8055,18.2747,3.64149,1.53562,0.805643,3.64149,0.778566,-0.0357318,145.381,39.8677,0.981176,0.0323109,0.0172889,76.0977,0.450327,0.748893,1.10502,0.760082,0.474776,0.407529,1.10753,1.45381,0.213804,1.05102,2.81249,0.596493,59.2471,0.933075,0.242619,-0.943032,-0.438235,
Yuksek,211014,1.96538e+07,1.98648e+07,179385,1.55998e+06,1.73937e+06,1.81254e+07,1.81254e+07,0,1.98648e+07,1.17632,1.06225,0.549806,0.0380745,7.27147,221.097,-275.729,3.54966,221.097,1696.12,7.96927,221.097,0.947873,-0.0175546,9.5963,98.9377,1.08432,-1.30902,1.04966,9.23757,0.0090303,0.850109,0.00989687,0.103132,0.47475,0.91244,0,0.095963,0.00428713,0,2.47777,8.92147,8.75604,0,7.11628,-4.13283,-0.562874,
Yuksek,1.72443e+08,1.94845e+08,3.67288e+08,3.3751e+07,1.7452e+07,5.1203e+07,3.16085e+08,3.16054e+08,30906,3.67288e+08,5.10927,46.9503,3.77641,0.795265,7.17974,13.5452,13.323,31.7922,13.5452,17.8918,8.34279,13.5452,5.43552,-0.01905,16.1991,53.0497,0.61943,0.581806,0.591509,2.56477,0.0918924,0.195723,0.106778,0.65916,4.36692,0.860592,1.65143,0.161991,0.401287,3.66855,1.16999,5.80285,13.9408,2.48323,1.45833,-3.8489,-0.291677,
Orta,2.75471e+10,2.96266e+10,5.71737e+10,2.10154e+10,6.27876e+09,2.72941e+10,2.98796e+10,2.98751e+10,4.461e+06,5.71737e+10,1.31081,48.1815,0.518181,0.102708,0.545483,4.50261,3.19534,7.64476,4.50261,0.72556,1.04377,4.50261,3.38511,-0.037786,91.347,51.8185,0.99429,0.0653558,0.0920941,14.1026,0.36757,0.762888,0.703335,0.769959,2.04535,0.522611,1.19283,0.91347,0.75181,7.39449,0.640873,9.91765,47.7389,2.62397,0.467284,-1.60867,-0.339177,
Yuksek,4.73228e+09,8.77545e+09,1.35077e+10,2.18325e+09,2.82796e+09,5.01121e+09,8.49651e+09,8.06638e+09,4.30129e+08,1.35077e+10,2.16753,35.0338,1.56651,0.662305,4.34103,14.5509,13.7209,16.7905,14.5509,9.96255,6.90136,14.5509,6.34035,-0.0354544,58.9796,64.9662,1.03957,0.369898,0.392275,5.85123,0.16163,0.461354,0.256959,0.435674,2.69588,0.629011,2.45515,0.589796,0.435735,5.77161,0.804016,6.39676,37.0989,9.35791,0.780423,-2.38938,-0.259309,
Dusuk,8.2003e+07,4.57611e+07,1.27764e+08,6.87874e+07,1.04002e+07,7.91877e+07,4.85764e+07,3.73363e+07,1.12402e+07,1.27764e+08,1.19212,64.1831,1.10029,0.117916,11.7727,15.9282,13.7898,30.6487,15.9282,8.57119,30.964,15.9282,21.8776,-0.00584041,163.017,35.8169,3.00384,0.351796,0.406349,2.83301,0.538394,0.838841,1.41607,0.868664,2.55113,0.380204,30.1674,1.63017,1.37351,3.35579,0.467291,2.32517,61.9796,55.1149,1.62095,-1.3017,-0.372568,
Dusuk,5.70251e+07,7.01136e+07,1.27139e+08,8.2248e+07,4.57057e+07,1.27954e+08,-815002,-1.1901e+06,375094,1.27139e+08,0.693331,44.8527,0.275503,0.00298216,9.60366,19.721,18.4891,29.7395,19.721,12.3107,-1498.15,19.721,15.3845,-0.041224,-15699.8,55.1473,-85.7261,0.222958,0.237813,6.54173,0.646915,1.44231,-100.918,0.642795,1.20589,-0.00641033,-0.072408,-156.998,0.780106,7.4723,0.574956,6.74974,100.641,2.19575,0.605424,1.0016,-0.689973,
Yuksek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.6214,69.3345,76.9911,68.6214,0,0,68.6214,0,-0.188286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yuksek,3.81272e+07,78958,3.82061e+07,248299,249073,497372,3.77087e+07,3.77087e+07,0,3.82061e+07,153.553,99.7933,153.361,46.3851,6.07718,8.12078,8.16959,20.3821,8.12078,8.12078,6.15733,8.12078,6.07718,0,1.31898,0.206663,0.00209563,9.40724,9.35104,0.214213,0.00649893,0.00651239,0.00658465,0.499222,115.149,0.986982,790.092,0.0131898,0.748349,71837.9,1.33351,256.111,1.30181,0,7.67877,-5.11348,-3.95909,
Yuksek,3.28908e+08,4.22307e+07,3.71138e+08,7.20688e+07,1.22887e+07,8.43575e+07,2.86781e+08,2.86781e+08,0,3.71138e+08,4.5638,88.6213,3.13634,1.3121,2.86308,7.69666,3.77358,23.0936,7.69666,6.17877,3.70527,7.69666,3.56644,-0.000636745,29.4153,11.3787,0.147645,0.0900482,0.183664,6.37313,0.194183,0.219116,0.251303,0.854326,2.38628,0.772706,8.04574,0.294153,0.463375,1.32208,1.91252,3.14343,22.7294,2.03511,1.12694,-3.15152,-0.236409,
Dusuk,3.28763e+07,1.10282e+08,1.43158e+08,4.89072e+07,1.54677e+07,6.43749e+07,7.87833e+07,7.87788e+07,4441,1.43158e+08,0.672218,22.965,0.193116,0.00701721,-4.96736,9.50814,-2.79526,17.5753,9.50814,-44.9269,-9.02625,9.50814,1.05127,-0.412849,81.7114,77.035,1.39981,-0.00904658,0.0307722,42.7746,0.34163,1.48761,0.620781,0.759724,0.32364,0.550323,0.754316,0.817114,0.110565,1.76813,2.07705,3.60056,44.9677,0.576886,-0.181898,-1.516,-0.538011,
Dusuk,1.02817e+08,1.05685e+08,2.08502e+08,9.69905e+07,5.686e+07,1.5385e+08,5.46517e+07,5.46517e+07,0,2.08502e+08,1.06008,49.3124,0.6754,0.0208502,-0.828317,5.43175,5.92431,12.1967,5.43175,-2.6526,-3.16012,5.43175,1.69615,-0.137408,281.511,50.6876,1.94172,0.039769,0.0364625,43.5034,0.465177,0.943328,1.7747,0.630421,0.671284,0.262116,0.542914,2.81511,0.312266,1.06203,1.57918,1.30919,73.7884,1.65958,0.10825,-0.0610254,-0.488226,
Yuksek,790508,3.87438e+07,3.95343e+07,1.74848e+06,391,1.74887e+06,3.77855e+07,3.77855e+07,0,3.95343e+07,0.452111,1.99955,0.428972,2.86e-05,8.72992,39.3519,39.3477,42.3006,39.3519,37.745,9.13398,39.3519,9.10158,-0.0158907,4.62843,98.0005,1.02546,2.05771,2.05793,0.486035,0.044227,2.21185,0.046274,0.999776,5.22955,0.955763,3464.33,0.0462843,0.231287,0,0.0864531,3.07396,4.42368,0,1.63908,-4.4425,-1.08561,
Dusuk,4.66804e+08,1.10871e+09,1.57552e+09,5.7114e+08,3.75098e+07,6.0865e+08,9.66869e+08,9.66869e+08,0,1.57552e+09,0.81732,29.6286,0.457973,0.234246,-2.36533,-2.15653,-0.191282,23.4275,-2.15653,-1.52358,-3.85432,-2.15653,-3.34798,-0.00841957,62.9506,70.3714,1.155,-0.00819185,-0.0923556,-11.5388,0.362509,1.22351,0.590711,0.938372,4.28259,0.613683,1.80636,0.629506,1.55248,19.9198,0.190847,4.88792,38.6317,10.0517,0.437598,-1.99482,-0.280826,
Dusuk,1.90173e+08,1.30486e+08,3.20659e+08,1.77403e+08,4.67284e+07,2.24131e+08,9.65283e+07,9.65283e+07,0,3.20659e+08,1.07199,59.3069,0.339673,0.0613894,2.05634,8.08908,5.23532,40.003,8.08908,2.97085,6.831,8.08908,5.59904,-0.0452522,232.192,40.6931,1.38992,0.0655,0.101204,12.4837,0.553243,0.932847,1.83783,0.791513,1.25112,0.301031,0.924833,2.32192,0.692173,4.7445,0.856823,1.55468,69.8969,1.17318,0.431632,-0.412699,-0.451194,
Dusuk,7.75271e+07,3.27828e+07,1.1031e+08,7.08643e+07,8.39592e+06,7.92602e+07,3.10497e+07,3.10497e+07,0,1.1031e+08,1.09402,70.2812,0.0174531,0.0103606,-5.5489,-0.700327,-0.407724,6.72138,-0.700327,-3.15915,-19.7135,-0.700327,-1.23009,-0.0223406,255.269,29.7188,1.11065,-0.0111478,-0.019148,-58.4123,0.642411,0.914058,2.28229,0.894071,2.73415,0.281477,1.60934,2.55269,1.75645,7988.2,0.400132,4.89006,71.8523,2.55678,0.622523,0.0409057,-0.784435,
Yuksek,9.66551e+09,2.98398e+09,1.26495e+10,3.88183e+09,1.10202e+09,4.98385e+09,7.66565e+09,7.3091e+09,3.56545e+08,1.26495e+10,2.48994,76.4103,2.22332,1.48284,35.677,22.3176,4.281,9.38909,22.3176,51.056,58.8725,22.3176,15.5951,-0.0647515,65.0153,23.5897,0.42872,0.0974817,0.50819,2.5264,0.306876,0.401616,0.506393,0.778882,2.27708,0.606004,7.84265,0.650153,0.698781,3.66443,1.09348,7.96635,39.3996,10.7987,2.46521,-3.66965,-0.320365,
Orta,1.7342e+08,3.44438e+08,5.17858e+08,1.24874e+08,1.4267e+08,2.67544e+08,2.50314e+08,2.50287e+08,26746,5.17858e+08,1.38876,33.488,0.446938,0.0830522,1.79306,7.88774,10.6691,12.7848,7.88774,3.39506,3.70953,7.88774,4.16581,-0.0816222,106.883,66.512,1.37703,0.233674,0.172758,12.4018,0.241136,0.720066,0.49887,0.466743,2.19021,0.483364,0.803481,1.06883,0.528137,6.32156,0.634078,6.54695,51.6636,2.42737,0.439208,-1.44142,-0.367488,
Dusuk,4.57701e+08,1.57295e+08,6.14996e+08,3.95863e+08,1.20756e+07,4.07938e+08,2.07057e+08,2.06956e+08,101694,6.14996e+08,1.15621,74.4234,1.0179,0.49873,0.101121,1.47752,1.10447,2.79434,1.47752,0.0348419,0.300347,1.47752,4.28818,-0.124966,197.017,25.5766,0.759884,0.0497992,0.0666193,15.4686,0.643684,0.864895,1.91185,0.970398,4.50887,0.336681,1.8034,1.97017,2.90228,9.95247,0.25643,24.5335,66.3319,47.2788,1.26965,-0.528258,-0.397574,
Yuksek,8.93051e+07,8.49663e+07,1.74271e+08,3.40764e+07,3.29026e+07,6.6979e+07,1.07292e+08,1.07292e+08,0,1.74271e+08,2.62073,51.2448,1.12434,0.0109027,-1.6375,1.80592,-2.24192,48.5248,1.80592,-3.5057,-2.65973,1.80592,0.843537,-0.0985661,62.4267,48.7552,0.845645,-0.0535546,0.0431396,45.5626,0.195536,0.381573,0.317603,0.508762,2.38879,0.615663,1.45645,0.624267,0.467095,2.20017,1.0971,3.59077,38.4337,1.12117,0.408741,-2.04607,-0.43153,
Yuksek,1.92917e+08,9.07108e+07,2.83628e+08,8.38158e+07,5.98971e+06,8.98055e+07,1.93823e+08,1.76572e+08,1.72504e+07,2.83628e+08,2.30168,68.0177,1.70686,0.00980566,-8.62698,3.12253,-1.19267,15.3049,3.12253,-90.79,-12.6242,3.12253,0.296707,-0.0753782,46.3339,31.9823,0.482527,-0.00383499,0.0100404,106.715,0.295513,0.434465,0.432436,0.933304,0.321547,0.683369,35.8833,0.463339,0.0950213,0.426154,7.15815,0.645322,31.6631,0.552756,-0.142518,-2.11619,-0.373574,
Dusuk,6.83795e+10,4.64011e+10,1.15e+11,6.00011e+10,3.2717e+10,9.27181e+10,2.20626e+10,2.20626e+10,0,1.15e+11,1.13964,59.5741,0.780481,0.354749,4.66347,8.68551,8.57906,12.3577,8.68551,4.34564,24.2618,8.68551,9.32077,-0.0218991,420.251,40.4259,3.18252,0.176119,0.178304,8.66651,0.522745,0.877471,2.71959,0.647134,2.05289,0.192215,1.01954,4.20251,1.07314,4.88274,0.555138,2.79192,80.7785,6.18401,0.92381,0.0899593,-0.481007,
Yuksek,1.69689e+07,3.08678e+06,2.00556e+07,4.35744e+06,492344,4.84978e+06,1.52059e+07,1.52059e+07,0,2.00556e+07,3.89423,84.6089,3.83305,1.17215,18.7187,7.66969,7.88084,20.0136,7.66969,10.1687,24.6888,7.66969,14.1185,-0.00548671,31.8941,15.3911,0.209018,0.667712,0.649822,1.71276,0.217267,0.25679,0.286563,0.898481,8.4726,0.758184,28.5373,0.318941,1.84082,3.1862,0.459627,22.0572,24.1816,0,2.53936,-3.77956,-0.294039,
Orta,3.37978e+08,5.8615e+08,9.24128e+08,2.42438e+08,1.16808e+08,3.59246e+08,5.64882e+08,5.64881e+08,892,9.24128e+08,1.39408,36.5727,0.405531,0.131316,2.67122,4.9031,2.6488,6.68274,4.9031,4.93452,4.37002,4.9031,2.65421,-0.0267114,63.5967,63.4273,1.04144,0.0546571,0.101174,14.6462,0.262342,0.717318,0.429183,0.674852,2.06346,0.611259,1.00634,0.635967,0.541333,8.33265,0.675604,8.13734,38.8741,2.50564,0.474732,-2.20996,-0.339797,
Orta,3.58216e+06,2.16102e+07,2.51924e+07,4.72978e+06,2.50504e+06,7.23482e+06,1.79576e+07,1.79576e+07,0,2.51924e+07,0.757362,14.2192,0.229709,0.0717502,-6.94843,-91.3794,-73.6032,-3.84586,-91.3794,-97.2591,-9.74785,-91.3794,-6.52837,-0.0825394,40.2884,85.7808,1.20341,-0.280079,-0.347722,-4.399,0.187747,1.32037,0.263387,0.653753,0.380526,0.712817,0.93312,0.402884,0.0714425,2.47735,1.9903,2.53309,28.7183,0.926124,-0.47391,-2.35341,-0.586296,
Orta,4.96882e+07,4.75723e+07,9.72605e+07,4.28221e+07,272612,4.30948e+07,5.41658e+07,5.41658e+07,0,9.72605e+07,1.16034,51.0877,1.15724,1.08362,-11.5927,0,0,0,0,0,-20.816,0,-15.3474,0,79.5609,48.9123,0.878719,-0.123476,-0.348581,-2.88704,0.440283,0.861817,0.790576,0.993674,0,0.556914,2714.12,0.795609,0,0,0,0,44.3086,0,-0.456963,-1.25738,-2.08416,
Dusuk,8.1812e+10,3.17e+11,3.99e+11,1.12e+11,1.82e+11,2.94e+11,1.05e+11,1.05e+11,1e+07,3.99e+11,0.73049,20.4949,0.632246,0.332592,0.556136,5.38321,4.78481,16.8677,5.38321,5.20956,2.11001,5.38321,0.574674,-0.0320787,279.405,79.5051,3.04912,0.018206,0.0204829,128.147,0.280563,1.36894,1.06447,0.380978,0.380496,0.263571,1.63542,2.79405,0.106753,2.93303,1.91984,2.78069,73.6429,8.46499,-0.0127141,-0.130302,-0.466598,
Orta,2.56858e+08,6.58851e+07,3.22743e+08,1.67587e+08,1.22845e+07,1.79871e+08,1.42872e+08,1.42872e+08,0,3.22743e+08,1.53269,79.5859,0.714859,0.0421207,15.2567,27.1978,24.3499,38.0633,27.1978,19.5231,34.4643,27.1978,21.2542,-0.0333183,125.897,20.4141,0.479116,0.366458,0.409319,2.62216,0.519257,0.652449,1.17299,0.931704,1.50497,0.44268,3.12231,1.25897,0.781468,2.24493,1.01842,2.01507,55.732,1.24368,1.42816,-1.81596,-0.392936,
Dusuk,2.03352e+10,4.40726e+10,6.44078e+10,2.22292e+10,2.05907e+10,4.28199e+10,2.15879e+10,4.94123e+09,1.66467e+10,6.44078e+10,0.914798,31.5726,0.570096,0.366676,-0.353821,7.04083,8.00727,30.8489,7.04083,-0.705977,-1.05563,7.04083,3.52871,-0.0921734,198.351,68.4274,7.81772,0.116276,0.102242,18.8404,0.345132,1.09314,1.02971,0.519133,1.45214,0.335176,1.37278,1.98351,0.501179,7.58176,0.629968,1.92161,66.4824,3.84205,0.316183,-0.498239,-0.437629,
Orta,7.68933e+08,9.0949e+09,9.86383e+09,9.20164e+08,3.79558e+09,4.71574e+09,5.14809e+09,3.37805e+09,1.77004e+09,9.86383e+09,0.835648,7.79548,0.499678,0.309808,4.00446,54.5917,41.1125,44.1048,54.5917,45.083,7.67262,54.5917,4.84906,-0.202037,91.6018,92.2045,1.76666,0.391458,0.519802,9.85932,0.0932867,1.19668,0.178739,0.195126,0.952163,0.521916,0.675904,0.916018,0.0888241,6.75622,0.877632,2.95496,47.8084,0,0.395977,-1.75846,-0.324322,
Yuksek,8.15303e+07,1.58941e+07,9.74244e+07,3.40551e+07,1.49292e+07,4.89842e+07,4.84401e+07,4.84401e+07,0,9.74244e+07,2.39407,83.6857,1.69173,0.00471193,39.2157,29.5463,36.9382,42.462,29.5463,30.1182,78.8719,29.5463,38.471,-0.0157546,101.123,16.3143,0.32956,1.37592,1.10057,1.30694,0.349554,0.417699,0.703035,0.695225,3.72491,0.497207,67.6676,1.01123,1.30206,2.8913,0.642719,9.91423,50.2793,4.52538,2.96242,-3.20836,-0.363418,
Orta,7.95109e+07,1.05155e+08,1.84666e+08,4.85022e+07,2.45064e+07,7.30087e+07,1.11657e+08,1.11487e+08,169877,1.84666e+08,1.63933,43.0567,0.90688,0.112252,-3.69102,-2.57579,-3.53386,17.4622,-2.57579,-17.9909,-6.10446,-2.57579,-0.52845,-0.374175,65.3866,56.9433,0.942862,-0.0276037,-0.02012,-74.8143,0.262649,0.610007,0.434386,0.664335,0.78112,0.604644,1.06771,0.653866,0.205161,0.983001,2.09868,4.51239,39.5356,0.961998,-0.0057077,-1.88693,-0.330411,
Dusuk,7.71068e+08,3.0009e+09,3.77197e+09,1.16565e+09,5.3843e+08,1.70408e+09,2.0679e+09,2.0689e+09,-1.00945e+06,3.77197e+09,0.661494,20.442,0.2287,0.0244458,0.0421119,-1.37298,-6.78156,17.3959,-1.37298,0.202179,0.0768147,-1.37298,-0.285979,-0.0733204,82.4064,79.558,1.45689,-0.0457088,-0.00925412,-157.974,0.309029,1.51173,0.563688,0.684034,0.674016,0.548227,0.713334,0.824064,0.20829,3.81378,0.981421,1.57483,45.1773,1.3879,-0.182579,-1.72943,-0.453158,
Dusuk,1.33065e+07,7.87752e+06,2.1184e+07,1.6349e+07,437378,1.67863e+07,4.39767e+06,3.29595e+06,1.10172e+06,2.1184e+07,0.813904,62.8139,0.688357,0.00215561,4.8355,6.30231,4.04502,9.56136,6.30231,4.76728,23.2931,6.30231,6.39249,-0.00147656,381.71,37.1861,-12.9241,0.053163,0.0828301,12.3959,0.77176,1.22865,3.71764,0.973944,1.31428,0.207594,9.38974,3.8171,1.01431,2.06359,0.619277,1.94473,79.2406,25.1009,0.502833,-0.00413758,-0.593208,
