Dönen Varlıklar,Duran Varlıklar,Toplam Varlıklar,Kısa Vadeli Yükümlülükler,Uzun Vadeli Yükümlülükler,Toplam Yükümlülükler,Toplam Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Kontrol Gücü Olmayan Kaynaklar,Toplam Kaynaklar,Cari Oran,Dönen Varlıklar / Aktif (%),Asit Test Oranı,Nakit Oranı,Aktif Karlılık (%),Faaliyet Kar Marjı,Esas Faaliyet Kar Marjı,Brüt Kar Marjı (%),FAVÖK Marjı (%),Net Kar Marjı,Özsermaye Karlılığı (%),VAFÖK Marjı,ROCE Oranı,Finansman Gider / Net Satış,Borç Kaynak Oranı,Duran Varlıklar / Aktif ,Duran Varlıklar / Maddi Özkaynak,Esas Faaliyet Karı / Kısa Vadeli Borç,FAVÖK / Kısa Vade Borç,Net Borç / FAVÖK,Kısa Vade Borç / Aktif,Kısa Vade Borç / Dönen Varlık,Kısa Vade Borç / Özsermaye,Kısa Vade Borç / Toplam Borç,Net Satışlar / Kısa Vade Borç,Özsermaye / Aktif,Özsermaye / Maddi Duran Varlıklar,Toplam Borç / Özsermaye,Aktif Devir Hızı,Alacak Devir Hızı,Dönen Varlıklar Devir Hızı,Ticari Borçlar Devir Hızı,Finansal Kaldıraç,Stok Devir Hızı,Springate Skoru,Zmijewski Skoru,L Model Skoru,FBE_Sınıfı
2998656740.0,7525617903.0,10524274643.0,8414351527.0,1943036184.0,10357387711.0,166886932.0,166886932.0,0.0,10524274643.0,0.356374075,28.49276403,0.326668577,0.009235557,-3.055436369,-58.27968962,-48.33110575,-35.32200479,-58.27968962,-51.81385654,-192.6828609,-58.27968962,-3.436723207,-0.357711264,6206.230522,71.50723597,-1.347645297,-0.035647213,-0.042984915,-28.63607592,0.799518429,2.806040256,50.41947519,0.812400941,0.073756253,0.015857333,0.137090831,62.06230522,0.058969484,2.045712893,4.831781159,0.928093854,98.41426666,3.801150007,-0.621699571,1.44568234,-0.711986856,Dusuk
5300485200.0,2241621685.0,7542106885.0,5026234347.0,3409502264.0,8435736611.0,-893629726.0,-931556635.0,37926909.0,7542106885.0,1.054563881,70.27857442,0.990554284,0.06631742,8.796532124,-29.87612009,-15.04125311,-4.810217451,-29.87612009,20.4687955,-74.24147113,-29.87612009,-12.83936077,0.34252217,-943.9856761,29.72142558,-0.796235973,-0.096995855,-0.192660797,-8.71137935,0.666423113,0.948259293,-5.624515614,0.595826373,0.644865518,-0.118485423,-9.175838676,-9.439856761,0.429753286,2.750754554,1.635323725,1.286722671,111.8485423,19.41244615,1.784414749,1.675304711,-0.768551485,Dusuk
4782732986.0,16164416475.0,20947149461.0,4933658622.0,12774278804.0,17707937426.0,3239212035.0,2573694741.0,665517294.0,20947149461.0,0.969408983,22.83238106,0.814182785,0.388749465,1.251939886,18.358865,19.61225475,28.00120364,18.358865,4.825600562,8.095972606,18.358865,4.762970961,-0.151262393,546.6742292,77.16761894,-2.952184452,0.216030697,0.2022245,17.74864134,0.235528879,1.031556358,1.52310456,0.278612834,1.101508724,0.154637367,0.867142059,5.466742292,0.259437114,4.41014232,0.880073813,3.52462986,84.53626332,23.40292531,0.241963483,0.458352078,-0.543337152,Dusuk
37581473.0,144049660.0,181631133.0,66079095.0,79270615.0,145349710.0,36281423.0,36281423.0,0.0,181631133.0,0.568734681,20.6910965,0.446767287,0.079791286,-16.87579519,-5.468128721,-3.581199221,10.92930354,-5.468128721,-14.33608645,-84.48317476,-5.468128721,-6.436834813,-0.115447529,400.6174455,79.3089035,4.855854438,-0.11587462,-0.176928815,-12.43230092,0.363809298,1.758289118,1.821292814,0.454621444,3.235637352,0.199753326,0.310958368,4.006174455,1.177154954,8.891838363,0.175772072,14.77839951,80.02466736,27.01432464,-0.70346525,1.018541884,-0.526808634,Dusuk
34672407000.0,137000000000.0,172000000000.0,36636015000.0,81738568000.0,118000000000.0,53706956000.0,53083998000.0,622958000.0,172000000000.0,0.946402249,20.14882433,0.747137646,0.492554007,1.630500294,20.00543001,19.38223922,38.43512067,20.00543001,11.18938283,5.224258102,20.00543001,2.915161632,-0.115559682,220.4082894,79.85117567,-106.6619979,0.132661453,0.136926874,23.59725802,0.212899159,1.056633161,0.682146555,0.309492241,0.684448541,0.312101788,1.890421896,2.204082894,0.145718519,4.520425091,1.382722284,4.036097386,68.7898212,9.108904938,0.172973818,-0.456138314,-0.438093002,Dusuk
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.72802679,6.024456589,9.425332563,21.72802679,0.0,0.0,21.72802679,0.0,-0.225578333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dusuk
7267837.0,2389.0,7270226.0,46769.0,17616.0,64385.0,7205841.0,7205841.0,0.0,7270226.0,155.3985974,99.96713995,155.0829182,40.26943061,-15.2383571,0.0,0.0,0.0,0.0,0.0,-15.37451354,0.0,0.0,0.0,0.89351125,0.032860051,0.000331537,0.0,0.0,0.0,0.00643295,0.006435065,0.006490429,0.7263959,0.0,0.991144017,3016.258267,0.008935113,0.0,0.0,0.0,0.0,0.885598329,0.0,1.023035603,-4.185389215,-5.771304136,Orta
34038672.0,535615564.0,569654236.0,63037821.0,169578271.0,232616092.0,337038144.0,337038144.0,0.0,569654236.0,0.539972218,5.975321493,0.438940759,0.019107815,0.061476415,21.98645267,22.39492102,29.29537681,21.98645267,2.229116171,0.103906043,21.98645267,0.606360628,-1.351614857,69.01773468,94.02467851,1.589208694,0.055813017,0.054795025,67.3437708,0.110659795,1.851947132,0.187034679,0.2709951,0.249221765,0.591653889,0.678218853,0.690177347,0.027578829,0.692586514,2.166633472,1.12146066,40.83461112,0.0,-0.320718764,-1.977353494,-0.349217947,Dusuk
127247974.0,489326687.0,616574661.0,90399605.0,94567652.0,184967257.0,431607404.0,405966751.0,25640653.0,616574661.0,1.407616482,20.63788573,0.682712131,0.09139416,9.387002688,25.84496282,25.41276971,44.39753207,25.84496282,18.16798064,13.4098441,25.84496282,13.35353335,-0.046297838,42.85544115,79.36211427,2.982740905,0.895553271,0.91078388,2.246533959,0.146615829,0.71042078,0.209448689,0.488733014,3.524028595,0.700008338,281.5795612,0.428554411,0.516678374,5.961735641,0.399433899,5.966581721,29.99916615,0.0,2.133090299,-3.018093116,-0.26797099,Yuksek
50966927.0,33304459.0,84271386.0,54865813.0,7196593.0,62062406.0,22208980.0,22208980.0,0.0,84271386.0,0.928937789,60.47951674,0.680958997,0.099812647,-1.729526556,6.957712675,7.108682956,20.14901502,6.957712675,-3.253179894,-6.562642679,6.957712675,3.699011192,-0.143066272,279.4473497,39.52048326,1.500575932,0.058047914,0.056815125,19.90961335,0.651061002,1.076498354,2.470433716,0.884042636,0.81657762,0.263541174,0.683784562,2.794473497,0.531641843,1.444190835,1.137598883,1.205458641,73.6458826,2.746003921,0.092644078,-0.028071748,-0.501310302,Dusuk
